eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds,nrounds_auc_mean,test_auc_mean,nrounds_auc_mean_sd,test_auc_mean_sd,val_auc_mean,val_auc_mean_sd,time_secs
0.02,8,5,0.6,0.6,1100,727,0.963923,665,0.96362,0.96498874,0.964896846,326
0.02,8,5,0.6,0.7,1100,906,0.963968,671,0.963628,0.965036169,0.964926711,381
0.02,8,5,0.6,0.8,1100,811,0.964035,811,0.963771,0.965036402,0.965036402,394
0.02,8,5,0.6,0.9,1100,811,0.963977,811,0.96348,0.965109607,0.965109607,432
0.02,8,5,0.6,1,1100,811,0.963975,785,0.963597,0.965146673,0.965137834,455
0.02,8,5,0.7,0.6,1100,893,0.964171,834,0.963844,0.965144462,0.965152636,335
0.02,8,5,0.7,0.7,1100,834,0.964141,831,0.963812,0.965143449,0.965138514,364
0.02,8,5,0.7,0.8,1100,798,0.964064,672,0.963642,0.96515481,0.965079913,387
0.02,8,5,0.7,0.9,1100,795,0.964147,795,0.963744,0.965196218,0.965196218,423
0.02,8,5,0.7,1,1100,699,0.964214,699,0.963841,0.965188688,0.965188688,468
0.02,8,5,0.8,0.6,1100,877,0.964212,903,0.963956,0.965358734,0.965365287,340
0.02,8,5,0.8,0.7,1100,831,0.964162,915,0.96387,0.965305887,0.965311264,368
0.02,8,5,0.8,0.8,1100,838,0.964216,841,0.963837,0.965364969,0.965362579,387
0.02,8,5,0.8,0.9,1100,715,0.964171,623,0.963844,0.965253184,0.965147841,407
0.02,8,5,0.8,1,1100,794,0.964197,820,0.963826,0.965369694,0.965366158,445
0.02,8,5,0.9,0.6,1100,1037,0.964361,790,0.964012,0.965503976,0.965380346,344
0.02,8,5,0.9,0.7,1100,836,0.964239,838,0.963838,0.965374124,0.965374576,359
0.02,8,5,0.9,0.8,1100,834,0.964264,819,0.963741,0.96532383,0.965297228,382
0.02,8,5,0.9,0.9,1100,834,0.964226,788,0.963917,0.965338318,0.965329902,417
0.02,8,5,0.9,1,1100,833,0.964222,690,0.963873,0.965360412,0.965220632,444
0.02,8,5,1,0.6,1100,808,0.964247,769,0.963946,0.96529973,0.965290456,318
0.02,8,5,1,0.7,1100,855,0.964133,867,0.96392,0.965349617,0.965354105,343
0.02,8,5,1,0.8,1100,850,0.963937,862,0.963647,0.965167674,0.965180249,372
0.02,8,5,1,0.9,1100,802,0.96386,726,0.963578,0.965041814,0.965009991,400
0.02,8,5,1,1,1100,905,0.963834,853,0.963634,0.965105402,0.965084375,430
0.02,8,10,0.6,0.6,1100,797,0.963974,666,0.963706,0.965125558,0.964991484,322
0.02,8,10,0.6,0.7,1100,824,0.963948,815,0.963411,0.964983579,0.964986018,363
0.02,8,10,0.6,0.8,1100,785,0.963967,785,0.96361,0.964973541,0.964973541,389
0.02,8,10,0.6,0.9,1100,816,0.963901,816,0.963502,0.965015049,0.965015049,424
0.02,8,10,0.6,1,1100,825,0.963939,817,0.963589,0.965145483,0.965153386,457
0.02,8,10,0.7,0.6,1100,838,0.96413,824,0.963808,0.965304977,0.965300926,332
0.02,8,10,0.7,0.7,1100,812,0.96419,726,0.963866,0.965239835,0.96518663,357
0.02,8,10,0.7,0.8,1100,816,0.964134,660,0.963747,0.965169045,0.965053139,392
0.02,8,10,0.7,0.9,1100,813,0.964116,882,0.963796,0.965313146,0.965349794,425
0.02,8,10,0.7,1,1100,811,0.964156,710,0.963869,0.965271887,0.965212965,448
0.02,8,10,0.8,0.6,1100,818,0.964257,822,0.963977,0.965426249,0.96543002,325
0.02,8,10,0.8,0.7,1100,846,0.964231,666,0.963798,0.965377043,0.96520443,353
0.02,8,10,0.8,0.8,1100,879,0.964233,883,0.963908,0.96538486,0.965381351,390
0.02,8,10,0.8,0.9,1100,836,0.964211,836,0.963877,0.965295652,0.965295652,414
0.02,8,10,0.8,1,1100,820,0.964241,882,0.963971,0.965358991,0.965389956,449
0.02,8,10,0.9,0.6,1100,924,0.964372,811,0.963891,0.965409342,0.965362671,337
0.02,8,10,0.9,0.7,1100,844,0.964332,819,0.96386,0.965367245,0.965360031,352
0.02,8,10,0.9,0.8,1100,838,0.964336,666,0.963764,0.965396205,0.965192148,382
0.02,8,10,0.9,0.9,1100,841,0.964306,835,0.963907,0.965347707,0.965348308,410
0.02,8,10,0.9,1,1100,853,0.964265,846,0.96393,0.965346385,0.965343536,744
0.02,8,10,1,0.6,1100,827,0.964289,829,0.964022,0.96530864,0.965306917,476
0.02,8,10,1,0.7,1100,834,0.964305,830,0.963919,0.965229521,0.965228436,536
0.02,8,10,1,0.8,1100,899,0.964142,1043,0.963842,0.965254599,0.965287021,632
0.02,8,10,1,0.9,1100,823,0.963987,863,0.96367,0.965272285,0.965302035,661
0.02,8,10,1,1,1100,863,0.963914,934,0.963661,0.965091866,0.965140505,735
0.02,8,20,0.6,0.6,1100,907,0.96386,905,0.963728,0.964883334,0.964880578,522
0.02,8,20,0.6,0.7,1100,888,0.963661,872,0.963408,0.964843639,0.964849633,583
0.02,8,20,0.6,0.8,1100,951,0.963784,914,0.96359,0.964923223,0.964902615,661
0.02,8,20,0.6,0.9,1100,863,0.963718,813,0.96357,0.964831326,0.964840018,709
0.02,8,20,0.6,1,1100,826,0.96369,1016,0.963568,0.964953152,0.965001768,811
0.02,8,20,0.7,0.6,1100,938,0.964,819,0.963808,0.965127382,0.965073181,525
0.02,8,20,0.7,0.7,1100,824,0.963846,821,0.963727,0.965043025,0.965043961,571
0.02,8,20,0.7,0.8,1100,853,0.963878,695,0.963636,0.965098998,0.964977953,639
0.02,8,20,0.7,0.9,1100,797,0.963943,894,0.96388,0.965088099,0.965118887,713
0.02,8,20,0.7,1,1100,800,0.963929,797,0.963834,0.965050176,0.965045093,756
0.02,8,20,0.8,0.6,1100,946,0.964074,945,0.963838,0.965302041,0.965302553,518
0.02,8,20,0.8,0.7,1100,996,0.964011,991,0.963691,0.965319564,0.96532111,592
0.02,8,20,0.8,0.8,1100,970,0.964073,834,0.963853,0.965268143,0.965241365,653
0.02,8,20,0.8,0.9,1100,843,0.964003,1024,0.963848,0.965236578,0.965274758,730
0.02,8,20,0.8,1,1100,843,0.963988,816,0.963765,0.965255354,0.96524217,755
0.02,8,20,0.9,0.6,1100,841,0.964222,841,0.963866,0.965367761,0.965367761,495
0.02,8,20,0.9,0.7,1100,846,0.964153,811,0.963791,0.965267994,0.965258553,555
0.02,8,20,0.9,0.8,1100,838,0.96409,839,0.96375,0.965339012,0.965339854,617
0.02,8,20,0.9,0.9,1100,821,0.964103,1010,0.963769,0.965243709,0.96533076,714
0.02,8,20,0.9,1,1100,934,0.96412,904,0.963912,0.965370422,0.965359455,763
0.02,8,20,1,0.6,1100,776,0.964188,807,0.963901,0.965243222,0.965268279,472
0.02,8,20,1,0.7,1100,913,0.964165,910,0.96382,0.965314454,0.9653114,547
0.02,8,20,1,0.8,1100,802,0.964032,974,0.963746,0.965088622,0.965179623,619
0.02,8,20,1,0.9,1100,876,0.963882,901,0.963578,0.965146638,0.965163236,668
0.02,8,20,1,1,1100,829,0.963868,829,0.963608,0.965104111,0.965104111,713
